,Unnamed: 0,SUBJECT,TRIAL,TRIAL_ABS,ROT,SIG_MP,HA_INIT,HA_MID,HA_END,GROUP
0,0,1,1,1,-0.918475168,1,0.058997156,0.566301986,0.8420212659999999,4
1,1,1,2,2,-1.310016825,1,-0.262886158,0.258956155,0.708896913,4
2,2,1,3,3,-1.232061727,1,0.074744206,0.106899873,0.973726403,4
3,3,1,4,4,-1.3884565430000002,3,0.252801769,-0.191618963,0.265023348,4
4,4,1,5,5,-0.8547571840000001,1,0.255080226,0.239021517,0.8297385340000001,4
5,5,1,6,6,-1.825954146,1,-0.057395992,-0.068472538,1.41779957,4
6,6,1,7,7,-1.625344104,2,-0.101584847,0.554703566,0.580419032,4
7,7,1,8,8,-1.7829041230000002,1,0.12428266,0.046235371,1.543230603,4
8,8,1,9,9,-1.1970499,4,0.24207973,-0.105504033,0.120649251,4
9,9,1,10,10,-1.207292392,2,0.149058642,0.123780774,0.488472405,4
10,10,1,11,11,-1.203565316,1,0.278961935,0.312476822,0.7737973840000001,4
11,11,1,12,12,-0.866538206,2,0.414816768,0.38853433,0.670902134,4
12,12,1,13,13,-0.782093536,1,0.465781521,0.084992062,0.8528018359999999,4
13,13,1,14,14,-0.717656278,1,0.215429064,0.335306082,0.765959506,4
14,14,1,15,15,-0.6029146910000001,1,0.31778611100000004,0.311099055,0.48706172,4
15,15,1,16,16,-1.171061142,3,-0.00414588,0.386363121,0.346618285,4
16,16,1,17,17,-1.310923603,2,0.147670561,0.398553984,0.759909394,4
17,17,1,18,18,-0.585771818,1,0.27117868300000003,0.231570524,0.598993699,4
18,18,1,19,19,-1.6250376869999998,1,0.175581751,0.288629649,1.147769908,4
19,19,1,20,20,-1.291803737,1,0.307672176,0.25935698,1.024799245,4
20,20,1,21,21,-0.8193102609999999,1,0.299681003,0.236865398,0.703664588,4
21,21,1,22,22,-0.977593732,3,0.253289679,0.6219272060000001,0.478204545,4
22,22,1,23,23,-0.472308736,1,0.451580419,0.56268738,0.485876856,4
23,23,1,24,24,-0.370735376,1,0.090677097,0.247582663,0.241016381,4
24,24,1,25,25,-0.956424011,3,0.429797562,0.478426443,0.419993893,4
25,25,1,26,26,-1.025505417,3,0.378736432,0.427620627,0.518788006,4
26,26,1,27,27,-0.728836719,1,0.031921749,0.453456898,0.404565833,4
27,27,1,28,28,-2.378329164,1,0.371610512,0.740422803,1.762382462,4
28,28,1,29,29,-1.12993697,1,-0.07814206900000001,0.607957867,1.085134361,4
29,29,1,30,30,-2.141128559,3,0.373290566,0.217882028,0.488943302,4
30,30,1,31,31,-0.59288264,1,0.139863795,0.538500988,0.502988365,4
31,31,1,32,32,-1.220416021,3,0.383853434,0.42620724,0.6474407289999999,4
32,32,1,33,33,-0.802494948,1,0.030163313,0.289321387,0.864950654,4
33,33,1,34,34,-1.144882252,1,0.26427867,0.6165457010000001,0.8414184240000001,4
34,34,1,35,35,-0.639525817,1,0.021794574,0.527480686,0.761881715,4
35,35,1,36,36,-0.226903344,4,0.32262987,0.399270151,0.402072467,4
36,36,1,37,37,-1.1544361909999998,1,0.197233564,0.5064876070000001,0.8017378209999999,4
37,37,1,38,38,-1.6758559709999998,4,-0.003960807,0.8506196890000001,0.418914366,4
38,38,1,39,39,-0.637179587,3,0.739164507,0.019451168,0.234356618,4
39,39,1,40,40,-1.840223536,3,0.725579924,0.243548411,0.679432622,4
40,40,1,41,41,-1.271029418,3,0.405330235,0.545238765,0.669538188,4
41,41,1,42,42,-1.409250228,4,0.136508765,0.585095691,0.451188364,4
42,42,1,43,43,-0.844516264,1,0.828009071,0.311209296,0.634538145,4
43,43,1,44,44,-0.410471639,1,0.5487394520000001,0.599235678,0.409515523,4
44,44,1,45,45,-0.314545565,2,0.506455656,0.595066387,0.406946407,4
45,45,1,46,46,-2.0619585,3,0.158612679,0.17518602100000005,0.7255449690000001,4
46,46,1,47,47,-0.5521325,2,0.700564388,0.583018367,0.605496723,4
