,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,GROUP,SUBJECT,PHASE,TRIAL,TARGET,ROT,DIR,HA_INIT,HA_MID,HA_END,SIG_MP,TRIAL_ABS
0,0,0,0,0,1,Baseline,1,0,0,CCW,5.911760783,4.178442196,1.451001983,4,1
1,1,1,1,0,1,Baseline,2,0,0,CCW,-1.87172986,-3.514438521,-6.070634474,4,2
2,2,2,2,0,1,Baseline,3,0,0,CCW,-0.225343732,-1.788825279,-4.848127232,4,3
3,3,3,3,0,1,Baseline,4,0,0,CCW,-0.259228922,-1.841951,-4.456309237,4,4
4,4,4,4,0,1,Baseline,5,0,0,CCW,-1.813050039,-3.197632922,-6.269133023,4,5
5,5,5,5,0,1,Baseline,6,0,0,CCW,2.506683445,0.977883085,-2.261335621,4,6
6,6,6,6,0,1,Baseline,7,0,0,CCW,1.556540479,0.384273625,-2.81026785,4,7
7,7,7,7,0,1,Baseline,8,0,0,CCW,-2.623164861,-3.971146861,-6.962860252,4,8
8,8,8,8,0,1,Baseline,9,0,0,CCW,-2.654136194,-3.990377575,-7.462692811,4,9
9,9,9,9,0,1,Baseline,10,0,0,CCW,7.40921885,5.805273072,2.646729697,4,10
10,10,10,10,0,2,Baseline,1,0,0,CCW,-3.534037095,-5.031205083,-8.060237921,4,1
11,11,11,11,0,2,Baseline,2,0,0,CCW,2.172906417,0.904012291,-1.901666218,4,2
12,12,12,12,0,2,Baseline,3,0,0,CCW,3.163977596,1.665882579,-1.200667973,4,3
13,13,13,13,0,2,Baseline,4,0,0,CCW,2.337656406,0.975618514,-2.23900576,4,4
14,14,14,14,0,2,Baseline,5,0,0,CCW,4.080074758,2.713414589,-0.974998782,4,5
15,15,15,15,0,2,Baseline,6,0,0,CCW,2.487929412,0.815099528,-1.259140914,4,6
16,16,16,16,0,2,Baseline,7,0,0,CCW,-1.100311232,-2.622995119,-6.000343486,4,7
17,17,17,17,0,2,Baseline,8,0,0,CCW,-3.219992582,-4.799665151,-7.932854219,4,8
18,18,18,18,0,2,Baseline,9,0,0,CCW,-2.173738547,-3.850532525,-7.278639963,4,9
19,19,19,19,0,2,Baseline,10,0,0,CCW,1.051157805,-0.484893734,-3.641787228,4,10
20,20,20,20,0,3,Baseline,1,0,0,CCW,0.072590708,-1.537580196,-4.303208514,4,1
21,21,21,21,0,3,Baseline,2,0,0,CCW,6.578063578,4.941470723,1.662268684,4,2
22,22,22,22,0,3,Baseline,3,0,0,CCW,-3.05404758,-4.788169312,-7.51906879,4,3
23,23,23,23,0,3,Baseline,4,0,0,CCW,-3.781491388,-5.376663505,-7.939360037,4,4
24,24,24,24,0,3,Baseline,5,0,0,CCW,6.421926867,4.63948033,1.520523423,4,5
25,25,25,25,0,3,Baseline,6,0,0,CCW,3.712413895,2.207892198,-0.834986974,4,6
26,26,26,26,0,3,Baseline,7,0,0,CCW,-3.150605809,-4.641031927,-7.557365111,4,7
27,27,27,27,0,3,Baseline,8,0,0,CCW,2.399998582,0.559731651,-2.021016397,4,8
28,28,28,28,0,3,Baseline,9,0,0,CCW,1.585406516,0.187348859,-2.604540273,4,9
29,29,29,29,0,3,Baseline,10,0,0,CCW,9.824050977,8.324621972,4.921316877,4,10
30,30,30,30,0,4,Baseline,1,0,0,CCW,2.117117723,0.433144307,-1.781088851,4,1
31,31,31,31,0,4,Baseline,2,0,0,CCW,5.315361645,3.785399898,0.570761662,4,2
32,32,32,32,0,4,Baseline,3,0,0,CCW,3.54743753,1.766450841,-1.146252618,4,3
33,33,33,33,0,4,Baseline,4,0,0,CCW,6.158800958,4.45197665,1.563055375,4,4
34,34,34,34,0,4,Baseline,5,0,0,CCW,0.676143806,-0.882170252,-4.069456461,4,5
35,35,35,35,0,4,Baseline,6,0,0,CCW,-7.687151012,-9.031611304,-11.57515288,4,6
36,36,36,36,0,4,Baseline,7,0,0,CCW,3.510947765,1.897608545,-1.25112637,4,7
37,37,37,37,0,4,Baseline,8,0,0,CCW,2.1175535,0.894077732,-2.194529321,4,8
38,38,38,38,0,4,Baseline,9,0,0,CCW,0.015078156,-1.533816779,-4.752089673,4,9
39,39,39,39,0,4,Baseline,10,0,0,CCW,3.918074364,2.256386603,0.250245781,4,10
40,40,40,40,0,5,Baseline,1,0,0,CCW,1.196559022,-0.346049318,-3.496128104,4,1
41,41,41,41,0,5,Baseline,2,0,0,CCW,2.730516572,1.054581139,-1.014046336,4,2
42,42,42,42,0,5,Baseline,3,0,0,CCW,3.412425223,1.504649973,-0.980493457,4,3
43,43,43,43,0,5,Baseline,4,0,0,CCW,1.977959279,0.293172789,-2.82042003,4,4
44,44,44,44,0,5,Baseline,5,0,0,CCW,0.191910098,-1.361473391,-4.572734351,4,5
45,45,45,45,0,5,Baseline,6,0,0,CCW,4.058374738,2.430042437,-0.276029945,4,6
46,46,46,46,0,5,Baseline,7,0,0,CCW,1.399164795,-0.185932276,-3.31746727,4,7
47,47,47,47,0,5,Baseline,8,0,0,CCW,1.65919163,0.422136331,-2.619074748,4,8
48,48,48,48,0,5,Baseline,9,0,0,CCW,3.375296458,1.958578702,-1.079358177,4,9
49,49,49,49,0,5,Baseline,10,0,0,CCW,-0.981836857,-2.726774422,-5.652533973,4,10
50,50,50,50,0,6,Baseline,1,0,0,CCW,6.68447619,5.193193031,1.958336253,4,1
51,51,51,51,0,6,Baseline,2,0,0,CCW,1.101432555,-0.5150521,-3.16876279,4,2
52,52,52,52,0,6,Baseline,3,0,0,CCW,4.388983869,3.090283884,-0.032296637,4,3
53,53,53,53,0,6,Baseline,4,0,0,CCW,1.54183611,0.028932762,-2.36269705,4,4
54,54,54,54,0,6,Baseline,5,0,0,CCW,-1.343164072,-2.963222462,-5.793201015,4,5
55,55,55,55,0,6,Baseline,6,0,0,CCW,0.490056011,-0.737640998,-3.910142563,4,6
56,56,56,56,0,6,Baseline,7,0,0,CCW,7.64858162,6.079063094,2.661433191,4,7
57,57,57,57,0,6,Baseline,8,0,0,CCW,4.602505312,3.138873956,0.059288204,4,8
58,58,58,58,0,6,Baseline,9,0,0,CCW,3.869268794,2.557175747,-0.805442523,4,9
59,59,59,59,0,6,Baseline,10,0,0,CCW,5.420543279,3.928049917,0.895930871,4,10
60,60,60,60,0,7,Baseline,1,0,0,CCW,1.527797252,0.407058151,-3.051027365,4,1
61,61,61,61,0,7,Baseline,2,0,0,CCW,2.788038568,1.713633922,-1.501794311,4,2
62,62,62,62,0,7,Baseline,3,0,0,CCW,5.956964074,4.69234874,1.290760284,4,3
63,63,63,63,0,7,Baseline,4,0,0,CCW,-8.642494785,-9.944388341,-13.00273013,4,4
64,64,64,64,0,7,Baseline,5,0,0,CCW,1.772237395,0.50684386,-2.841065716,4,5
65,65,65,65,0,7,Baseline,6,0,0,CCW,7.620588392,6.46567395,2.561508354,4,6
66,66,66,66,0,7,Baseline,7,0,0,CCW,2.390906222,0.833260604,-2.312788785,4,7
67,67,67,67,0,7,Baseline,8,0,0,CCW,4.0852362,2.904072944,-0.567201592,4,8
68,68,68,68,0,7,Baseline,9,0,0,CCW,3.173599366,1.651555596,-1.05909922,4,9
69,69,69,69,0,7,Baseline,10,0,0,CCW,5.696073071,4.038659736,0.72485262,4,10
70,70,70,70,0,8,Baseline,1,0,0,CCW,-1.15594699,-2.655501633,-5.63435238,4,1
71,71,71,71,0,8,Baseline,2,0,0,CCW,2.233866465,0.715244713,-1.984444938,4,2
72,72,72,72,0,8,Baseline,3,0,0,CCW,1.6054303,0.181061711,-2.656849185,4,3
73,73,73,73,0,8,Baseline,4,0,0,CCW,2.266789099,1.063324321,-2.595085846,4,4
74,74,74,74,0,8,Baseline,5,0,0,CCW,2.226887679,0.735651396,-2.62728308,4,5
75,75,75,75,0,8,Baseline,6,0,0,CCW,3.08747875,1.395313708,-1.799710345,4,6
76,76,76,76,0,8,Baseline,7,0,0,CCW,4.409773569,2.562124582,0.226391683,4,7
77,77,77,77,0,8,Baseline,8,0,0,CCW,7.430081279,6.016122527,3.177780714,4,8
78,78,78,78,0,8,Baseline,9,0,0,CCW,0.437973229,-0.736562224,-3.958533892,4,9
79,79,79,79,0,8,Baseline,10,0,0,CCW,3.660000996,2.126731498,-0.576027464,4,10
80,80,80,80,0,9,Baseline,1,0,0,CCW,5.22132704,3.646073858,0.900812454,4,1
81,81,81,81,0,9,Baseline,2,0,0,CCW,4.163031249,2.708421342,-0.047007423,4,2
82,82,82,82,0,9,Baseline,3,0,0,CCW,0.341912751,-0.928304791,-3.96458596,4,3
83,83,83,83,0,9,Baseline,4,0,0,CCW,1.578752577,-0.326113943,-2.959916187,4,4
84,84,84,84,0,9,Baseline,5,0,0,CCW,-0.068044299,-1.096139597,-4.632464004,4,5
85,85,85,85,0,9,Baseline,6,0,0,CCW,-0.991913137,-2.389918728,-4.840096904,4,6
86,86,86,86,0,9,Baseline,7,0,0,CCW,-0.725179524,-1.960854406,-5.207901361,4,7
