GROUP,SUBJECT,PHASE,HAND,TRIAL,TRIAL_ABS,ROT,SIG_MP,DIR,HA_INIT,HA_MID,HA_END
2,7,BASELINE,RH,2,2,0,4,CCW,-1.610598664,-2.490605437,-2.213824119
2,7,BASELINE,RH,3,3,0,4,CCW,2.794949202,0.502891921,-0.442168729
2,7,BASELINE,RH,4,4,0,4,CCW,3.737442718,-0.218285934,-1.598027545
2,7,BASELINE,RH,5,5,0,4,CCW,-2.364004319,1.230349272,0.969539566
2,7,BASELINE,RH,6,6,0,4,CCW,-2.486106988,0.613824415,0.017439718
2,7,BASELINE,RH,7,7,0,4,CCW,0.750948178,-2.977651773,-5.560475157
2,7,BASELINE,RH,8,8,0,4,CCW,1.363978429,-0.53619316,-3.112644399
2,7,BASELINE,RH,9,9,0,4,CCW,1.19611207,-1.253499668,-2.724888283
2,7,BASELINE,RH,10,10,0,4,CCW,2.202299842,3.592802186,-0.605938647
2,8,BASELINE,RH,1,1,0,4,CCW,4.828730593,0.068583689,-5.424290902
2,8,BASELINE,RH,2,2,0,4,CCW,2.137988532,-0.585360749,-1.644311388
2,8,BASELINE,RH,3,3,0,4,CCW,-1.370391725,-1.764706181,-1.855494697
2,8,BASELINE,RH,4,4,0,4,CCW,0.194361858,-2.832409638,1.418796807
2,8,BASELINE,RH,5,5,0,4,CCW,2.187371425,1.490876245,-4.74337559
2,8,BASELINE,RH,6,6,0,4,CCW,-1.131352445,-1.960798287,-0.312777572
2,8,BASELINE,RH,7,7,0,4,CCW,1.698802366,0.998088454,0.518520937
2,8,BASELINE,RH,8,8,0,4,CCW,0.22785622,-0.358469116,-2.798753114
2,8,BASELINE,RH,9,9,0,4,CCW,2.70045679,1.644002971,-1.981898537
2,8,BASELINE,RH,10,10,0,4,CCW,-2.214185577,2.071597363,2.290181209
2,9,BASELINE,RH,1,1,0,4,CCW,-3.771446565,1.481858288,-1.597191351
2,9,BASELINE,RH,2,2,0,4,CCW,-0.65012267,3.993301398,-2.157852998
2,9,BASELINE,RH,3,3,0,4,CCW,-2.024355761,0.879816106,-5.021957359
2,9,BASELINE,RH,4,4,0,4,CCW,1.561816266,2.934441633,0.163436265
2,9,BASELINE,RH,5,5,0,4,CCW,2.247516941,2.197747712,-3.25086954
2,9,BASELINE,RH,6,6,0,4,CCW,0.781564716,5.565001721,-2.474516368
2,9,BASELINE,RH,7,7,0,4,CCW,1.368760991,2.12490638,-1.227560319
2,9,BASELINE,RH,8,8,0,4,CCW,-0.415624639,-1.607371895,-5.859221165
2,9,BASELINE,RH,9,9,0,4,CCW,-0.180156459,0.58678828,0.487698058
2,9,BASELINE,RH,10,10,0,4,CCW,2.355670232,2.278565012,-4.250264298
2,10,BASELINE,RH,1,1,0,4,CCW,2.053890866,1.368600007,2.458703779
2,10,BASELINE,RH,2,2,0,4,CCW,2.942384945,-0.544045719,-0.838836499
2,10,BASELINE,RH,3,3,0,4,CCW,0.325106363,-0.075009868,0.705408404
2,10,BASELINE,RH,4,4,0,4,CCW,5.8190137,1.431168533,-5.141672983
2,10,BASELINE,RH,5,5,0,4,CCW,-0.670125119,-0.79606104,1.162358417
2,10,BASELINE,RH,6,6,0,4,CCW,-0.423591169,-0.967548559,-2.050475093
2,10,BASELINE,RH,7,7,0,4,CCW,-2.884124823,-0.132969602,3.440380421
2,10,BASELINE,RH,8,8,0,4,CCW,4.720528856,1.905599735,-2.578708187
2,10,BASELINE,RH,9,9,0,4,CCW,1.513359331,3.177518671,-3.839511957
2,10,BASELINE,RH,10,10,0,4,CCW,3.361237614,0.876657649,-1.443277652
2,11,BASELINE,RH,1,1,0,4,CCW,2.323858201,2.118721526,-4.018275987
2,11,BASELINE,RH,2,2,0,4,CCW,2.952278157,-0.385713259,-5.720554552
2,11,BASELINE,RH,3,3,0,4,CCW,0.279299,2.367853517,-3.621552594
2,11,BASELINE,RH,4,4,0,4,CCW,2.921653289,-1.152918148,2.333810028
2,11,BASELINE,RH,5,5,0,4,CCW,4.097845489,3.768359399,-0.696558204
2,11,BASELINE,RH,6,6,0,4,CCW,3.482089412,3.850834277,-3.079391083
2,11,BASELINE,RH,7,7,0,4,CCW,1.26224074,0.512763802,-1.194461869
2,11,BASELINE,RH,8,8,0,4,CCW,0.585285947,0.950988755,-2.221997409
2,11,BASELINE,RH,9,9,0,4,CCW,2.634120244,1.179340134,2.440924564
2,11,BASELINE,RH,10,10,0,4,CCW,-1.069218316,1.77614949,-4.203510879
2,12,BASELINE,RH,1,1,0,4,CCW,3.085492786,-3.670516405,-2.601993768
2,12,BASELINE,RH,2,2,0,4,CCW,-0.049237112,-1.115956689,-3.572305123
2,12,BASELINE,RH,3,3,0,4,CCW,0.686513482,0.09161242,1.239601676
2,12,BASELINE,RH,4,4,0,4,CCW,1.068041355,-1.885713335,-1.655827888
2,12,BASELINE,RH,5,5,0,4,CCW,-0.902882547,-1.197724523,-5.084191147
2,12,BASELINE,RH,6,6,0,4,CCW,2.821694467,2.753675976,-1.894836363
2,12,BASELINE,RH,7,7,0,4,CCW,0.855295108,0.030023428,-0.989941474
2,12,BASELINE,RH,8,8,0,4,CCW,0.769997537,1.610683592,-1.379535165
2,12,BASELINE,RH,9,9,0,4,CCW,3.499917622,4.328702042,-3.694978606
2,12,BASELINE,RH,10,10,0,4,CCW,0.475257169,1.594054421,2.446015852
2,13,BASELINE,RH,1,1,0,4,CCW,1.551236426,-1.269989062,-4.808917457
2,13,BASELINE,RH,2,2,0,4,CCW,1.324731585,-0.515016898,-2.221908955
2,13,BASELINE,RH,3,3,0,4,CCW,-0.385845705,-0.46700724,-2.056798192
2,13,BASELINE,RH,4,4,0,4,CCW,-0.861535067,0.214599118,-2.212632826
2,13,BASELINE,RH,5,5,0,4,CCW,3.464901761,-0.505656295,1.127373701
2,13,BASELINE,RH,6,6,0,4,CCW,2.132077191,5.414606966,-0.924634314
2,13,BASELINE,RH,7,7,0,4,CCW,4.464141748,0.144483823,-1.247211451
2,13,BASELINE,RH,8,8,0,4,CCW,4.137082092,3.504195617,1.453856646
2,13,BASELINE,RH,9,9,0,4,CCW,3.64894616,-0.474174375,-2.39594086
2,13,BASELINE,RH,10,10,0,4,CCW,2.845759307,-0.651093164,-0.124447983
2,14,BASELINE,RH,1,1,0,4,CCW,0.410269957,0.182489798,-4.618429666
2,14,BASELINE,RH,2,2,0,4,CCW,3.881521884,-0.494562613,-3.312871919
2,14,BASELINE,RH,3,3,0,4,CCW,4.227054055,-3.988120983,-3.413025159
2,14,BASELINE,RH,4,4,0,4,CCW,2.54994202,4.419951984,-2.898919313
2,14,BASELINE,RH,5,5,0,4,CCW,3.626998496,-1.387589223,-5.394982204
2,14,BASELINE,RH,6,6,0,4,CCW,3.943528884,-1.247029268,-1.485214185
2,14,BASELINE,RH,7,7,0,4,CCW,-0.105265192,1.066445573,-6.537806045
2,14,BASELINE,RH,8,8,0,4,CCW,3.280202192,-2.77025298,-3.887937981
2,14,BASELINE,RH,9,9,0,4,CCW,1.570309106,1.200597818,-2.368382319
2,14,BASELINE,RH,10,10,0,4,CCW,2.492623197,-0.20902115,-0.788299806
2,15,BASELINE,RH,1,1,0,4,CCW,0.326228921,3.811060427,-3.489278157
2,15,BASELINE,RH,2,2,0,4,CCW,3.691872344,0.408372492,-2.509412154
2,15,BASELINE,RH,3,3,0,4,CCW,3.108678828,-1.217041679,-5.422402767
2,15,BASELINE,RH,4,4,0,4,CCW,2.375643895,2.327704771,-3.810553258
2,15,BASELINE,RH,5,5,0,4,CCW,4.210321157,-0.291943111,-0.860771627
2,15,BASELINE,RH,6,6,0,4,CCW,0.108105438,3.46052656,-1.245776163
2,15,BASELINE,RH,7,7,0,4,CCW,1.211224526,-1.695173567,-3.639553425
2,15,BASELINE,RH,8,8,0,4,CCW,2.160303136,0.790738757,-2.252891247
2,15,BASELINE,RH,9,9,0,4,CCW,1.701965253,-0.342386325,-2.799254519
2,15,BASELINE,RH,10,10,0,4,CCW,4.051240178,2.609412132,-4.630832014
2,16,BASELINE,RH,1,1,0,4,CCW,0.427558582,-1.411651789,-4.101271595
2,16,BASELINE,RH,2,2,0,4,CCW,-0.538320342,-1.343167561,-0.663697777
2,16,BASELINE,RH,3,3,0,4,CCW,1.980589144,0.233502056,-2.769850398
2,16,BASELINE,RH,4,4,0,4,CCW,3.112513098,-1.646723473,-0.691179376
2,16,BASELINE,RH,5,5,0,4,CCW,-1.687920415,-0.341749794,-3.7038916
2,16,BASELINE,RH,6,6,0,4,CCW,4.02308931,0.800644854,-5.690990962
2,16,BASELINE,RH,7,7,0,4,CCW,1.20080241,-1.36218857,0.80167361
2,16,BASELINE,RH,8,8,0,4,CCW,4.187837276,1.927718202,-1.109117181
2,16,BASELINE,RH,9,9,0,4,CCW,0.266280529,0.322211525,-0.585123535
2,16,BASELINE,RH,10,10,0,4,CCW,5.5913482,-2.43184233,-6.600164543
2,17,BASELINE,RH,1,1,0,4,CCW,1.672287132,-1.331305448,-4.087390655
2,17,BASELINE,RH,2,2,0,4,CCW,7.451231596,0.617081607,-1.745272788
2,17,BASELINE,RH,3,3,0,4,CCW,4.755264734,3.132424846,1.322527345
2,17,BASELINE,RH,4,4,0,4,CCW,3.196462099,6.784413357,2.061561393
2,17,BASELINE,RH,5,5,0,4,CCW,1.051221399,2.866422318,-2.726022552
2,17,BASELINE,RH,6,6,0,4,CCW,1.428852166,2.888025202,-0.656671607
2,17,BASELINE,RH,7,7,0,4,CCW,5.936177164,2.12752913,-2.03727905
2,17,BASELINE,RH,8,8,0,4,CCW,-1.06288985,0.182068976,-2.444853222
2,17,BASELINE,RH,9,9,0,4,CCW,-0.421706254,1.801387219,-0.961901205
2,17,BASELINE,RH,10,10,0,4,CCW,1.412696634,-0.265480204,1.270320553
2,18,BASELINE,RH,1,1,0,4,CCW,-0.806347212,-0.032888891,-3.985186471
2,18,BASELINE,RH,2,2,0,4,CCW,3.047395949,1.20013452,-0.240429351
2,18,BASELINE,RH,3,3,0,4,CCW,1.376547384,-0.485343789,-6.022541354
2,18,BASELINE,RH,4,4,0,4,CCW,2.810150983,0.058770675,-3.876651047
2,18,BASELINE,RH,5,5,0,4,CCW,1.490585943,-4.915742747,-2.249953969
2,18,BASELINE,RH,6,6,0,4,CCW,4.146918781,-2.265307061,-6.061407895
2,18,BASELINE,RH,7,7,0,4,CCW,0.267532939,-0.472388847,-0.825761093
2,18,BASELINE,RH,8,8,0,4,CCW,1.868972994,-2.61746836,-2.502040346
2,18,BASELINE,RH,9,9,0,4,CCW,2.510385527,1.251458948,1.074397205
2,18,BASELINE,RH,10,10,0,4,CCW,4.647491682,-0.521777352,-3.686786587
2,19,BASELINE,RH,1,1,0,4,CCW,4.593795894,1.745466395,-0.198063333
2,19,BASELINE,RH,2,2,0,4,CCW,0.808996175,2.961315545,-0.213593769
2,19,BASELINE,RH,3,3,0,4,CCW,-3.259462418,2.636083926,-5.862182433
2,19,BASELINE,RH,4,4,0,4,CCW,0.052288495,-0.134178832,1.19899748
2,19,BASELINE,RH,5,5,0,4,CCW,2.205380656,1.087540989,3.312787035
2,19,BASELINE,RH,6,6,0,4,CCW,2.687377356,1.248929316,-1.206257753
2,19,BASELINE,RH,7,7,0,4,CCW,1.005882781,3.791053006,-4.811023534
2,19,BASELINE,RH,8,8,0,4,CCW,-0.020982907,-1.427522655,-2.262963887
