0.4114,0.9982,0.0000,0.9306,0.0804,0.0000,1.0294,4.9585,0.0041,4605.8027
0.0449,0.9983,0.0000,0.9409,0.0340,0.0000,-4.7238,4.8903,-4.7967,4614.4107
0.2545,0.9987,0.0000,0.9277,0.0401,0.0000,0.8007,4.7765,-2.3546,4717.5160
0.0474,0.9988,0.0000,0.9386,0.0351,0.0000,-0.9722,4.9433,-1.7167,4712.9846
0.0410,0.9994,0.0000,0.9553,0.0644,0.0000,-3.5456,4.9712,0.1277,4629.7709
0.4685,0.9975,0.7718,1.0000,0.0425,0.0000,1.1194,1.8030,0.3770,4047.2507
0.2021,0.9985,0.0000,0.9380,0.0936,0.0000,0.6012,4.9900,0.2014,4491.5706
0.5905,0.9991,0.0000,0.9416,0.0347,0.0000,1.2812,4.9238,-2.6651,4404.4727
0.4321,0.9975,0.0420,1.0000,0.0197,0.0000,1.0612,-1.9281,0.3514,4627.3214
0.0497,0.9981,0.0000,0.9149,0.0473,0.0000,-1.4564,4.9909,-3.7693,4592.7232
0.1614,0.9984,0.0000,0.9391,0.0837,0.0000,0.4596,4.9557,0.1392,4421.2734
0.4374,0.9988,0.0000,0.9473,0.0752,0.0000,1.1058,4.6768,0.1686,4523.8916
0.0657,0.9983,0.0000,0.9087,0.0473,0.0000,-0.3192,4.9079,-3.1137,4176.7094
0.0447,0.9982,0.0000,0.9359,0.0951,0.0000,-4.2492,4.9186,0.2360,4774.1775
0.0476,0.9988,0.0000,0.9454,0.0708,0.0000,-1.3737,4.9397,0.0440,4129.4390
0.2104,0.9979,0.9826,1.0000,0.0646,0.0000,0.6368,1.8724,0.3436,4545.8148
0.5510,0.9976,0.4680,1.0000,0.0119,0.0000,1.2045,0.9910,0.3719,4821.2502
0.4379,0.9989,0.6311,0.9423,0.0362,0.0000,1.0764,4.2542,-1.6143,4115.0292
0.9849,0.9985,0.0000,0.9316,0.1021,0.0000,1.5467,4.9185,0.2799,4179.4268
0.4865,0.9986,0.0000,0.9277,0.0419,0.0000,1.1428,4.9851,-2.2789,4766.5846
