0.0667,0.9998,0.0000,0.0000,0.8663,0.1003,-2.2521,4.7695,-0.9182,55.2531
0.0306,0.9996,0.1595,0.0321,0.8222,1.0000,-0.1347,1.1930,-0.9682,55.0466
0.0494,1.0000,0.0000,0.0884,0.7623,0.2424,-5.0000,4.9363,-1.0857,58.2380
0.0351,1.0000,0.8326,0.3411,0.5635,1.0000,-0.1282,1.5206,-1.0114,59.1834
1.0000,1.0000,0.0007,0.0000,0.8381,0.0166,1.4611,4.9711,-1.0593,55.3517
0.0333,1.0000,0.7022,0.0000,0.8489,1.0000,-0.3400,1.3300,-1.0163,56.4684
1.0000,1.0000,0.0004,0.0955,0.7430,0.0224,1.3589,4.1280,-1.0622,59.6494
1.0000,1.0000,0.0000,0.7372,0.2242,0.0185,1.3646,4.8605,-0.9811,53.7178
1.0000,0.9999,0.0000,0.7869,0.1854,0.0291,1.5387,4.9521,-0.9027,59.9267
0.1069,1.0000,0.9079,0.0386,0.8070,0.3859,0.7090,2.6841,-1.1070,55.6126
0.0202,1.0000,0.7491,0.0154,0.7982,1.0000,-0.9796,1.6448,-1.1476,52.8252
0.1009,0.9997,0.0000,0.0558,0.8108,0.3164,0.4512,4.6981,-0.9958,55.4550
0.0568,0.9999,0.0731,0.0000,0.8414,0.5120,0.1253,-2.0506,-0.9952,53.8029
0.2577,0.9999,0.0000,0.0000,0.8328,0.0770,0.7774,4.8541,-1.0133,56.8858
0.0377,0.9999,0.0000,0.0000,0.8573,1.0000,-0.0628,4.8083,-0.9470,56.0004
1.0000,1.0000,0.0000,0.0000,0.8437,0.0257,1.4949,4.9758,-0.9975,59.0148
0.0258,1.0000,0.4759,0.2065,0.6734,1.0000,-1.3147,0.7918,-1.0992,56.0768
0.0226,1.0000,0.0691,0.0738,0.7747,1.0000,-0.8520,-1.4493,-1.0983,54.3624
1.0000,1.0000,0.2870,0.0000,0.8636,0.0246,1.1884,-0.2402,-1.0300,61.3178
0.1393,1.0000,0.1917,0.1177,0.7591,0.1242,0.0437,0.1640,-0.9871,53.1719
0.0276,1.0000,0.0000,0.0000,0.8130,1.0000,-0.0033,4.8651,-1.1642,56.9896
