GROUP,SUBJECT,PHASE,TRIAL,TARGET,ROT,DIR,HA_INITIAL,HA_END,CA_END
0,8,Baseline,2,0,0,CCW,2.233866465,2.515555062,-2.515555062
0,8,Baseline,3,0,0,CCW,1.6054303,1.843150815,-1.843150815
0,8,Baseline,4,0,0,CCW,2.266789099,1.904914154,-1.904914154
0,8,Baseline,5,0,0,CCW,2.226887679,1.87271692,-1.87271692
0,8,Baseline,6,0,0,CCW,3.08747875,2.700289655,-2.700289655
0,8,Baseline,7,0,0,CCW,4.409773569,4.726391683,-4.726391683
0,8,Baseline,8,0,0,CCW,7.430081279,7.677780714,-7.677780714
0,8,Baseline,9,0,0,CCW,0.437973229,0.541466108,-0.541466108
0,8,Baseline,10,0,0,CCW,3.660000996,3.923972536,-3.923972536
0,9,Baseline,1,0,0,CCW,5.22132704,5.400812454,-5.400812454
0,9,Baseline,2,0,0,CCW,4.163031249,4.452992577,-4.452992577
0,9,Baseline,3,0,0,CCW,0.341912751,0.53541404,-0.53541404
0,9,Baseline,4,0,0,CCW,1.578752577,1.540083813,-1.540083813
0,9,Baseline,5,0,0,CCW,-0.068044299,-0.132464004,0.132464004
0,9,Baseline,6,0,0,CCW,-0.991913137,-0.340096904,0.340096904
0,9,Baseline,7,0,0,CCW,-0.725179524,-0.707901361,0.707901361
0,9,Baseline,8,0,0,CCW,1.334403795,1.566440852,-1.566440852
0,9,Baseline,9,0,0,CCW,3.323497256,3.286115751,-3.286115751
0,9,Baseline,10,0,0,CCW,-3.495574836,-3.803858937,3.803858937
0,10,Baseline,1,0,0,CCW,-2.218903948,-2.346261307,2.346261307
0,10,Baseline,2,0,0,CCW,6.760481735,7.258175702,-7.258175702
0,10,Baseline,3,0,0,CCW,1.038475634,1.242859178,-1.242859178
0,10,Baseline,4,0,0,CCW,6.337139062,6.93383777,-6.93383777
0,10,Baseline,5,0,0,CCW,-1.524103535,-1.513906159,1.513906159
0,10,Baseline,6,0,0,CCW,0.923902775,1.286938154,-1.286938154
0,10,Baseline,7,0,0,CCW,4.600782073,4.558230666,-4.558230666
0,10,Baseline,8,0,0,CCW,10.61161275,10.84180169,-10.84180169
0,10,Baseline,9,0,0,CCW,7.641600377,7.743494627,-7.743494627
0,10,Baseline,10,0,0,CCW,-4.173372159,-3.721027101,3.721027101
0,11,Baseline,1,0,0,CCW,7.992063545,8.129037291,-8.129037291
0,11,Baseline,2,0,0,CCW,1.135810586,1.345006178,-1.345006178
0,11,Baseline,3,0,0,CCW,4.370846377,3.965744294,-3.965744294
0,11,Baseline,4,0,0,CCW,0.749493731,0.512528556,-0.512528556
0,11,Baseline,5,0,0,CCW,-0.896398291,-1.30524625,1.30524625
0,11,Baseline,6,0,0,CCW,-0.099203059,-0.361573274,0.361573274
0,11,Baseline,7,0,0,CCW,-1.33469694,-1.770321824,1.770321824
0,11,Baseline,8,0,0,CCW,0.944635348,1.072124765,-1.072124765
0,11,Baseline,9,0,0,CCW,2.003783161,2.351098761,-2.351098761
0,11,Baseline,10,0,0,CCW,-3.062664306,-3.532342656,3.532342656
0,12,Baseline,1,0,0,CCW,-0.917638586,-0.694726592,0.694726592
0,12,Baseline,2,0,0,CCW,7.75976028,7.44074165,-7.44074165
0,12,Baseline,3,0,0,CCW,5.397788031,5.273735012,-5.273735012
0,12,Baseline,4,0,0,CCW,-0.560990641,-0.770737388,0.770737388
0,12,Baseline,5,0,0,CCW,1.36700309,0.902842955,-0.902842955
0,12,Baseline,6,0,0,CCW,0.465573175,0.690263389,-0.690263389
0,12,Baseline,7,0,0,CCW,0.379645246,0.947270266,-0.947270266
0,12,Baseline,8,0,0,CCW,4.184219928,4.027021989,-4.027021989
0,12,Baseline,9,0,0,CCW,-0.290155593,0.064757622,-0.064757622
0,12,Baseline,10,0,0,CCW,-4.004291127,-3.393337448,3.393337448
0,13,Baseline,1,0,0,CCW,3.177027862,3.252294158,-3.252294158
0,13,Baseline,2,0,0,CCW,7.850920123,7.313603572,-7.313603572
0,13,Baseline,3,0,0,CCW,8.458931021,8.908919862,-8.908919862
0,13,Baseline,4,0,0,CCW,-0.730342955,-0.675620759,0.675620759
0,13,Baseline,5,0,0,CCW,1.736790629,1.731842419,-1.731842419
0,13,Baseline,6,0,0,CCW,0.089446506,0.526538643,-0.526538643
0,13,Baseline,7,0,0,CCW,1.703373604,1.514647401,-1.514647401
0,13,Baseline,8,0,0,CCW,5.638908009,6.153873246,-6.153873246
0,13,Baseline,9,0,0,CCW,-2.183303251,-2.471110201,2.471110201
0,13,Baseline,10,0,0,CCW,-3.768662159,-3.541765726,3.541765726
0,14,Baseline,1,0,0,CCW,1.551745454,1.865376406,-1.865376406
0,14,Baseline,2,0,0,CCW,2.075474344,2.367856186,-2.367856186
0,14,Baseline,3,0,0,CCW,1.629739836,1.444495996,-1.444495996
0,14,Baseline,4,0,0,CCW,-0.101856061,-0.067508065,0.067508065
0,14,Baseline,5,0,0,CCW,3.340434316,2.994045382,-2.994045382
0,14,Baseline,6,0,0,CCW,4.377861055,4.524786318,-4.524786318
0,14,Baseline,7,0,0,CCW,0.252188335,0.209823499,-0.209823499
0,14,Baseline,8,0,0,CCW,2.284251394,2.644969547,-2.644969547
0,14,Baseline,9,0,0,CCW,1.761582478,0.687035545,-0.687035545
0,14,Baseline,10,0,0,CCW,7.132740253,6.647269295,-6.647269295
0,15,Baseline,1,0,0,CCW,0.188482397,0.131729722,-0.131729722
0,15,Baseline,2,0,0,CCW,3.055140016,3.073436404,-3.073436404
0,15,Baseline,3,0,0,CCW,3.717055714,3.479124304,-3.479124304
0,15,Baseline,4,0,0,CCW,5.91997727,5.754840099,-5.754840099
0,15,Baseline,5,0,0,CCW,0.21776526,0.44020863,-0.44020863
0,15,Baseline,6,0,0,CCW,0.489857266,1.18055173,-1.18055173
0,15,Baseline,7,0,0,CCW,0.125822412,-0.115825351,0.115825351
0,15,Baseline,8,0,0,CCW,1.111266449,1.385805148,-1.385805148
0,15,Baseline,9,0,0,CCW,-3.323800271,-3.652485012,3.652485012
0,15,Baseline,10,0,0,CCW,4.202263797,3.64051552,-3.64051552
0,16,Baseline,1,0,0,CCW,3.432650106,3.771602374,-3.771602374
0,16,Baseline,2,0,0,CCW,3.693460173,3.340879753,-3.340879753
0,16,Baseline,3,0,0,CCW,-2.569576339,-2.751659065,2.751659065
0,16,Baseline,4,0,0,CCW,2.750223304,2.452697068,-2.452697068
0,16,Baseline,5,0,0,CCW,1.942525416,1.734551203,-1.734551203
0,16,Baseline,6,0,0,CCW,1.273917234,0.648442687,-0.648442687
0,16,Baseline,7,0,0,CCW,1.803554074,1.830759729,-1.830759729
0,16,Baseline,8,0,0,CCW,2.705041235,2.369165267,-2.369165267
0,16,Baseline,9,0,0,CCW,3.19188734,3.007521784,-3.007521784
0,16,Baseline,10,0,0,CCW,4.254376852,5.032063279,-5.032063279
0,17,Baseline,1,0,0,CCW,3.562801117,3.96302931,-3.96302931
0,17,Baseline,2,0,0,CCW,3.345591231,3.690025118,-3.690025118
0,17,Baseline,3,0,0,CCW,0.82583808,0.422983586,-0.422983586
0,17,Baseline,4,0,0,CCW,5.6952201,5.62820891,-5.62820891
0,17,Baseline,5,0,0,CCW,-3.450726381,-2.815093481,2.815093481
0,17,Baseline,6,0,0,CCW,2.076514169,2.14922024,-2.14922024
0,17,Baseline,7,0,0,CCW,2.011638177,2.120552517,-2.120552517
0,17,Baseline,8,0,0,CCW,-1.698705765,-1.640955979,1.640955979
0,17,Baseline,9,0,0,CCW,2.189661075,1.929898132,-1.929898132
0,17,Baseline,10,0,0,CCW,0.507323267,0.877259878,-0.877259878
0,18,Baseline,1,0,0,CCW,4.433430013,4.55419283,-4.55419283
0,18,Baseline,2,0,0,CCW,8.908381479,8.35013721,-8.35013721
0,18,Baseline,3,0,0,CCW,1.26272539,1.343196049,-1.343196049
0,18,Baseline,4,0,0,CCW,3.292127904,2.515064333,-2.515064333
0,18,Baseline,5,0,0,CCW,-0.986381492,-0.831008798,0.831008798
0,18,Baseline,6,0,0,CCW,6.03087067,5.781598794,-5.781598794
0,18,Baseline,7,0,0,CCW,-1.087354734,-1.184727069,1.184727069
0,18,Baseline,8,0,0,CCW,3.344872523,3.615226897,-3.615226897
0,18,Baseline,9,0,0,CCW,-1.336136679,-1.046103003,1.046103003
0,18,Baseline,10,0,0,CCW,1.202616833,0.775594968,-0.775594968
0,19,Baseline,1,0,0,CCW,1.653684442,1.975451164,-1.975451164
0,19,Baseline,2,0,0,CCW,3.347920435,3.459046456,-3.459046456
0,19,Baseline,3,0,0,CCW,3.770642036,4.200528803,-4.200528803
0,19,Baseline,4,0,0,CCW,-0.306889545,-0.609885387,0.609885387
0,19,Baseline,5,0,0,CCW,1.617690228,1.216564646,-1.216564646
0,19,Baseline,6,0,0,CCW,-3.088425067,-2.749659491,2.749659491
0,19,Baseline,7,0,0,CCW,3.694354243,2.888375096,-2.888375096
0,19,Baseline,8,0,0,CCW,-1.054004134,-0.954737015,0.954737015
0,19,Baseline,9,0,0,CCW,-5.698066835,-5.619217785,5.619217785
0,19,Baseline,10,0,0,CCW,4.201245254,3.828746893,-3.828746893
0,20,Baseline,1,0,0,CCW,3.506480114,4.095495624,-4.095495624
0,20,Baseline,2,0,0,CCW,3.909837457,3.830205219,-3.830205219
0,20,Baseline,3,0,0,CCW,2.324833142,2.086119802,-2.086119802
0,20,Baseline,4,0,0,CCW,3.633201717,3.556711578,-3.556711578
0,20,Baseline,5,0,0,CCW,0.518914273,0.384664691,-0.384664691
0,20,Baseline,6,0,0,CCW,1.982813367,1.721769505,-1.721769505
0,20,Baseline,7,0,0,CCW,0.652602364,0.733153843,-0.733153843
0,20,Baseline,8,0,0,CCW,3.206273524,3.197126014,-3.197126014
0,20,Baseline,9,0,0,CCW,-7.496607461,-7.046597409,7.046597409
0,20,Baseline,10,0,0,CCW,0.316445254,0.237713025,-0.237713025
1,21,Baseline,1,0,0,CCW,0.909640832,0.806970072,-0.806970072
1,21,Baseline,2,0,0,CCW,2.267337989,1.933969301,-1.933969301
1,21,Baseline,3,0,0,CCW,4.053314351,3.796398363,-3.796398363
1,21,Baseline,4,0,0,CCW,-0.460307557,-0.156681514,0.156681514
1,21,Baseline,5,0,0,CCW,5.714084577,5.533031706,-5.533031706
1,21,Baseline,6,0,0,CCW,-4.05986351,-4.490436735,4.490436735
1,21,Baseline,7,0,0,CCW,-1.14657886,-0.824055535,0.824055535
1,21,Baseline,8,0,0,CCW,8.754884463,8.430394781,-8.430394781
1,21,Baseline,9,0,0,CCW,0.36044619,-0.235484529,0.235484529
1,21,Baseline,10,0,0,CCW,3.450834998,3.584315979,-3.584315979
1,22,Baseline,1,0,0,CCW,1.504600136,1.324155977,-1.324155977
1,22,Baseline,2,0,0,CCW,3.479391267,3.426915707,-3.426915707
1,22,Baseline,3,0,0,CCW,-0.464335841,-0.295135027,0.295135027
1,22,Baseline,4,0,0,CCW,1.422752046,1.534241062,-1.534241062
1,22,Baseline,5,0,0,CCW,4.345176199,4.563048219,-4.563048219
1,22,Baseline,6,0,0,CCW,0.945463789,1.443389493,-1.443389493
1,22,Baseline,7,0,0,CCW,-1.706837473,-1.395329928,1.395329928
1,22,Baseline,8,0,0,CCW,1.867252667,2.421988085,-2.421988085
1,22,Baseline,9,0,0,CCW,2.742543328,2.57237487,-2.57237487
1,22,Baseline,10,0,0,CCW,2.468423186,1.958667801,-1.958667801
1,23,Baseline,1,0,0,CCW,5.266172348,5.397452065,-5.397452065
1,23,Baseline,2,0,0,CCW,4.627446727,4.86723114,-4.86723114
1,23,Baseline,3,0,0,CCW,3.366646261,3.232703066,-3.232703066
1,23,Baseline,4,0,0,CCW,3.179344115,3.075763134,-3.075763134
1,23,Baseline,5,0,0,CCW,-5.859442007,-5.541540419,5.541540419
1,23,Baseline,6,0,0,CCW,-5.044704493,-4.954325819,4.954325819
1,23,Baseline,7,0,0,CCW,5.118804002,4.840571668,-4.840571668
1,23,Baseline,8,0,0,CCW,2.404025626,2.10370368,-2.10370368
1,23,Baseline,9,0,0,CCW,3.314969819,3.135825219,-3.135825219
1,23,Baseline,10,0,0,CCW,-3.606172251,-3.39966515,3.39966515
1,24,Baseline,1,0,0,CCW,-3.852602564,-3.469319109,3.469319109
1,24,Baseline,2,0,0,CCW,3.293850857,3.26130042,-3.26130042
1,24,Baseline,3,0,0,CCW,4.62877379,4.456902082,-4.456902082
1,24,Baseline,4,0,0,CCW,2.056323892,2.205601529,-2.205601529
1,24,Baseline,5,0,0,CCW,-1.153189263,-1.582119456,1.582119456
1,24,Baseline,6,0,0,CCW,-0.104635599,-0.374207426,0.374207426
1,24,Baseline,7,0,0,CCW,5.64357164,5.689512738,-5.689512738
1,24,Baseline,8,0,0,CCW,1.527921745,1.363045734,-1.363045734
1,24,Baseline,9,0,0,CCW,-0.621500152,-0.748984149,0.748984149
1,24,Baseline,10,0,0,CCW,-0.344751098,-0.018210658,0.018210658
1,25,Baseline,1,0,0,CCW,5.255858453,5.627426402,-5.627426402
1,25,Baseline,2,0,0,CCW,6.102830797,5.606943436,-5.606943436
1,25,Baseline,3,0,0,CCW,6.649605918,6.532974389,-6.532974389
1,25,Baseline,4,0,0,CCW,0.560961268,0.534646975,-0.534646975
1,25,Baseline,5,0,0,CCW,0.779463612,0.890619645,-0.890619645
1,25,Baseline,6,0,0,CCW,-2.327749392,-1.940898315,1.940898315
1,25,Baseline,7,0,0,CCW,9.78144058,9.598896007,-9.598896007
1,25,Baseline,8,0,0,CCW,2.917895004,3.01321562,-3.01321562
1,25,Baseline,9,0,0,CCW,-4.480712513,-4.151849901,4.151849901
